Sample Date,Sample Number,Sample Time,Sample Site,Latitude,Longitude,Water Temperature (C),Air Temperature (C),Salinity (PSU),Type,ID,Relative Abundance,Target,Nitrite,Nitrate,pH,KH,GH,Column 32,Sampler Name,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12
5/30/2025,1,12:30 PM,Loc 1,40.657778,-73.760278,22,19,24,Diatom,Pleurosigma (sp),Some,N,,,,,,,,,,,,,,,,,,,
5/30/2025,1,12:30 PM,Loc 1,40.657778,-73.760278,22,19,24,Diatom,Melosira (sp),Elevated,N,,,,,,,,,,,,,,,,,,,
5/30/2025,1,12:30 PM,Loc 1,40.657778,-73.760278,22,19,24,Diatom,Navicula (sp),Some,N,,,,,,,,,,,,,,,,,,,
5/30/2025,1,12:30 PM,Loc 1,40.657778,-73.760278,22,19,24,Diatom,Bacillaria (genus),Some,N,,,,,,,,,,,,,,,,,,,
5/30/2025,1,12:30 PM,Loc 1,40.657778,-73.760278,22,19,24,Diatom,Achnanthaceae (family),Some,N,,,,,,,,,,,,,,,,,,,
5/30/2025,1,12:30 PM,Loc 1,40.657778,-73.760278,22,19,24,Dinoflagellate,Dino,Some,N,,,,,,,,,,,,,,,,,,,
6/13/2025,2,4:30 PM,Loc 1,40.657778,-73.760278,25,25.5,24,Diatom,Melosira (genus),Some,N,,,,,,,,,,,,,,,,,,,
6/13/2025,2,4:30 PM,Loc 1,40.657778,-73.760278,25,25.5,24,Dinoflagellate,Dino,Elevated,N,,,,,,,,,,,,,,,,,,,
6/13/2025,2,4:30 PM,Loc 1,40.657778,-73.760278,25,25.5,24,Diatom,Achnanthaceae (family),Some,N,,,,,,,,,,,,,,,,,,,
6/13/2025,2,4:30 PM,Loc 1,40.657778,-73.760278,25,25.5,24,Cyanobacteria,Oscillatoriales (genus),Some,N,,,,,,,,,,,,,,,,,,,
6/13/2025,2,4:30 PM,Loc 1,40.657778,-73.760278,25,25.5,24,Diatom,Naviculus (sp),Some,N,,,,,,,,,,,,,,,,,,,
6/13/2025,2,4:30 PM,Loc 1,40.657778,-73.760278,25,25.5,24,Diatom,Pleurosigma (sp),Elevated,N,,,,,,,,,,,,,,,,,,,
7/7/2025,3,9:50 AM,Loc 1,40.657778,-73.760278,26,26.1,20,Diatom,Diploneidaceae (family),Some,N,,,,,,,,,,,,,,,,,,,
7/7/2025,3,9:50 AM,Loc 1,40.657778,-73.760278,26,26.1,20,Diatom,Naviculales (order),Elevated,N,,,,,,,,,,,,,,,,,,,
7/7/2025,3,9:50 AM,Loc 1,40.657778,-73.760278,26,26.1,20,Diatom,Pleurosigma (sp),Some,N,,,,,,,,,,,,,,,,,,,
7/7/2025,3,9:50 AM,Loc 1,40.657778,-73.760278,26,26.1,20,Diatom,Melosira (genus),Elevated,N,,,,,,,,,,,,,,,,,,,
7/7/2025,3,9:50 AM,Loc 1,40.657778,-73.760278,26,26.1,20,Diatom,Prorocentrum (sp),Some,Y,,,,,,,,,,,,,,,,,,,
7/7/2025,3,9:50 AM,Loc 1,40.657778,-73.760278,26,26.1,20,Crustacean,Crustacean,Some,N,,,,,,,,,,,,,,,,,,,
7/7/2025,3,9:50 AM,Loc 1,40.657778,-73.760278,26,26.1,20,Euglenoid,Euglena,Some,N,,,,,,,,,,,,,,,,,,,
7/7/2025,3,9:50 AM,Loc 1,40.657778,-73.760278,26,26.1,20,Cyanobacteria,Cylindrospermopsis (genus),Some,N,,,,,,,,,,,,,,,,,,,
7/7/2025,3,9:50 AM,Loc 1,40.657778,-73.760278,26,26.1,20,Cyanobacteria,Oscillatoriales (genus),Some,N,,,,,,,,,,,,,,,,,,,
7/7/2025,4,12:45 PM,Loc 2,40.6578574,-73.7609742,29,30,17.5,Diatom,Coscinodiscales (order),Some,N,,,,,,,,,,,,,,,,,,,
7/7/2025,4,12:45 PM,Loc 2,40.6578574,-73.7609742,29,30,17.5,Diatom,Cymbella (genus),Some,N,,,,,,,,,,,,,,,,,,,
7/7/2025,4,12:45 PM,Loc 2,40.6578574,-73.7609742,29,30,17.5,Diatom,Melosira Nummuloides (sp),Some,N,,,,,,,,,,,,,,,,,,,
7/7/2025,4,12:45 PM,Loc 2,40.6578574,-73.7609742,29,30,17.5,Diatom,Melosira moniliformis sp,Elevated,N,,,,,,,,,,,,,,,,,,,
7/7/2025,4,12:45 PM,Loc 2,40.6578574,-73.7609742,29,30,17.5,Diatom,Entomoneis (Genus),Some,N,,,,,,,,,,,,,,,,,,,
7/7/2025,4,12:45 PM,Loc 2,40.6578574,-73.7609742,29,30,17.5,Diatom,Naviculus (Genus) Nv. (order),Elevated,N,,,,,,,,,,,,,,,,,,,
7/7/2025,4,12:45 PM,Loc 2,40.6578574,-73.7609742,29,30,17.5,Diatom,Pinnularia (Genus) Nv. (order),Some,N,,,,,,,,,,,,,,,,,,,
7/7/2025,4,12:45 PM,Loc 2,40.6578574,-73.7609742,29,30,17.5,Diatom,Diploneis (Genus) Nv. (order),Some,N,,,,,,,,,,,,,,,,,,,
7/7/2025,4,12:45 PM,Loc 2,40.6578574,-73.7609742,29,30,17.5,Dinoflagellate,Dino,Some,N,,,,,,,,,,,,,,,,,,,
7/7/2025,4,12:45 PM,Loc 2,40.6578574,-73.7609742,29,30,17.5,Cyanobacteria,Oscillatoriales (genus),Some,N,,,,,,,,,,,,,,,,,,,
7/19/2025,5,12:30 PM,Loc 3,40.6631013,-73.7606094,27,27.7,14,Diatom,Genus Pinnularia,Some,N,,,,,,,,,,,,,,,,,,,
7/19/2025,5,12:30 PM,Loc 3,40.6631013,-73.7606094,27,27.7,14,Diatom,Navicula,Elevated,N,,,,,,,,,,,,,,,,,,,
7/19/2025,5,12:30 PM,Loc 3,40.6631013,-73.7606094,27,27.7,14,Diatom,Melosira inflexa,Some,N,,,,,,,,,,,,,,,,,,,
7/19/2025,5,12:30 PM,Loc 3,40.6631013,-73.7606094,27,27.7,14,Diatom,Entomoneis,Some,N,,,,,,,,,,,,,,,,,,,
7/19/2025,5,12:30 PM,Loc 3,40.6631013,-73.7606094,27,27.7,14,Cyanobacteria,Cyanobacteria,Some,N,,,,,,,,,,,,,,,,,,,
7/19/2025,6,12:40 PM,Loc 4,40.663007,-73.760762,27,27.7,15,Cyanobacteria,Spirulinales,Elevated,N,,,,,,,,,,,,,,,,,,,
7/19/2025,6,12:40 PM,Loc 4,40.663007,-73.760762,27,27.7,15,Diatom,Bacillariaceae,Some,N,,,,,,,,,,,,,,,,,,,
7/19/2025,6,12:40 PM,Loc 4,40.663007,-73.760762,27,27.7,15,Diatom,Centric Diatoms,Some,N,,,,,,,,,,,,,,,,,,,
7/19/2025,7,1:15 PM,Loc 5,40.6604965,-73.7444951,X,X,0,Diatom,Entomeis,Some,N,,,,,,,,,,,,,,,,,,,
7/19/2025,7,1:15 PM,Loc 5,40.6604965,-73.7444951,X,X,0,Unknown,X,Some,N,,,,,,,,,,,,,,,,,,,
7/19/2025,8,1:15 PM,Loc 6,40.6577882,-73.7469634,X,X,20,Diatom,Melosira nummuloides,Elevated,N,,,,,,,,,,,,,,,,,,,
7/19/2025,8,1:35 PM,Loc 6,40.6577882,-73.7469634,X,X,20,Diatom,Pleurosigma,Some,N,,,,,,,,,,,,,,,,,,,
7/19/2025,8,1:35 PM,Loc 6,40.6577882,-73.7469634,X,X,20,Diatom,Navicula,Some,N,,,,,,,,,,,,,,,,,,,
7/19/2025,8,1:35 PM,Loc 6,40.6577882,-73.7469634,X,X,20,Diatom,Melosira Varians,Some,N,,,,,,,,,,,,,,,,,,,
7/19/2025,8,1:35 PM,Loc 6,40.6577882,-73.7469634,X,X,20,Diatom,Cyanobacteria,Some,N,,,,,,,,,,,,,,,,,,,
8/16/2025,9,9:35 AM,Blue Belt,40.659358,-73.761964,24,25.5556,21,Diatom,Entomoneis,Some,N,,,,,,,,,,,,,,,,,,,
8/16/2025,9,9:35 AM,Blue Belt,40.659358,-73.761964,24,25.5556,21,Diatom,Melosira moniliformis sp,Some,N,,,,,,,,,,,,,,,,,,,
8/16/2025,9,9:35 AM,Blue Belt,40.659358,-73.761964,24,25.5556,21,Diatom,"Nitzschia A.H. Hassall, 1845",Elevated,N,,,,,,,,,,,,,,,,,,,
8/16/2025,9,9:35 PM,Blue Belt,40.659358,-73.761964,24,25.5556,21,Diatom,Bacillaria,Some,N,,,,,,,,,,,,,,,,,,,
9/6/2025,10,10:00 AM,Trail - Salt Marsh,40.65423,-73.757359,25,26.1,26,Diatom,Pennate diatoms,Elevated,N,,,,,,,,,,,,,,,,,,,
9/6/2025,11,9:35 AM,Loc 1,40.657778,-73.760278,25,26,25,Diatom,Pennate Diatoms,Elevated,N,,,,,,,,,,,,,,,,,,,
10/4/2025,12,9:30 AM,Trail - Salt Marsh,40.65423,-73.757359,20,20,26,Cyanobacteria,multiple species,Elevated,N,,,,,,,,,,,,,,,,,,,
10/4/2025,13,10:00 AM,Loc 1,40.657778,-73.760278,20.5,20,24,Diatom,Pennate Diatoms,Elevated,N,,,,,,,,,,,,,,,,,,,
12/27/2025,14,12:00 PM,Blue Belt,40.659358,-73.761964,0,0,24,Diatom,Thalassiosira,Elevated,N,,,,,,,,,,,,,,,,,,,
1/9/2026,15,11:08 AM,Kayak Launch,40.6496115,-73.7370297,4,5.9,30,Diatom,Chains- Thalassionema,Elevated,N,20,0,7.5,80,180,,,,,,,,,,,,,,
1/9/2026,16,11:41 AM,Brookvile Loc 2,40.660514,-73.744549,8,7.8,20,Dinoflagellate,Heterocaspa,Some,N,0,0,7,40,180,,,,,,,,,,,,,,
1/9/2026,16,11:41 AM,Brookvile Loc 2,40.660514,-73.744549,8,7.8,20,Diatom,Pennates,Some,N,0,0,7,40,180,,,,,,,,,,,,,,
1/9/2026,16,11:41 AM,Brookvile Loc 2,40.660514,-73.744549,8,7.8,20,Diatom,Chains- Thalassionema,Elevated,N,0,0,7,40,180,,,,,,,,,,,,,,
1/9/2026,17,12:00 PM,Loc 1- Idlewild,40.657778,-73.760278,6,8.3,25,Dinoflagellate,Heterocaspa,Elevated,N,X,X,X,X,X,,,,,,,,,,,,,,
1/9/2026,17,12:00 PM,Loc 1- Idlewild,40.657778,-73.760278,6,8.3,25,Diatom,Chains- Thalassionema,Some,N,X,X,X,X,X,,,,,,,,,,,,,,
1/9/2026,17,12:00 PM,Loc 1- Idlewild,40.657778,-73.760278,6,8.3,25,Diatom,Pennates,Some,N,X,X,X,X,X,,,,,,,,,,,,,,
2/21/2026,18,9:00 AM,Loc 1- Idlewild,40.657778,-73.760278,4,5,23,Dinoflagellate,Heterocaspa,Some,N,0,0,7,40,180,,,,,,,,,,,,,,
2/21/2026,18,9:00 AM,Loc 1- Idlewild,40.657778,-73.760278,4,5,23,Diatom,Chains,Elevated,N,0,0,7,40,180,,,,,,,,,,,,,,
2/21/2026,18,9:00 AM,Loc 1- Idlewild,40.657778,-73.760278,4,5,23,Dinoflagellate,Peridinium,Some,N,0,0,7,40,180,,,,,,,,,,,,,,
2/21/2026,18,9:00 AM,Loc 1- Idlewild,40.657778,-73.760278,4,5,23,Diatom,Pennates,Some,N,0,0,7,40,180,,,,,,,,,,,,,,
2/21/2026,19,1:00 PM,Broookville 1,40.65779,-73.74696,5,X,10,Diatom,,Some,,0,0,7,0,180,,,,,,,,,,,,,,
2/21/2026,20,1:25 PM,Broookville 2,40.660514,-73.744549,6,X,4,Euglenoid,Euglena,Elevated,,0,0,7,0,120,,,,,,,,,,,,,,
2/28/2026,21,,North Channel,40.63782,-73.83312,,,,Diatom,Asterionellopsis,Some,,,,,,,,,,,,,,,,,,,,
4/18/2026,22,1:00 PM,Blue Belt,40.659358,-73.761964,19,N/A,16.5,,,Some,,,,,,,,,,,,,,,,,,,,
4/18/2026,23,1:45 PM,Behind Center,40.657882,-73.76111,20,N/A,24,,,,,,,,,,,,,,,,,,,,,,,
